id,parent__id,term.de,term.en,definition.de,definition.en,abbreviations.en,abbreviations.de,synonyms.en,synonyms.de,iris,taxonomyURI,review.status__id,review.reviewer__contactsId,review.log
befidesh/facility-life-cycle/3.1_operation,befidesh/facility-life-cycle,3.1 Betrieb,3.1 Operation,"Die tägliche Nutzung und Verwaltung des Systems, um den beabsichtigten Zweck zu erreichen.",The day-to-day use and management of the system to achieve its intended purpose.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/3.2_maintenance,befidesh/facility-life-cycle,3.2 Instandhaltung,3.2 Maintenance," Regelmäßige Instandhaltung, Reparaturen und Aktualisierungen, um sicherzustellen, dass das System funktionsfähig und effizient bleibt."," Regular upkeep, repairs, and updates to ensure the system remains functional and efficient.","","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/4_end_of_life,befidesh/facility-life-cycle,4. Ende des Lebenszyklus,4. End Of Life,Die End-of-Life-Phase befasst sich mit der Ausmusterung oder dem Ersatz des Systems oder Projekts.,The End of Life phase addresses the retirement or replacement of the system or project.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/4.1_replaced_by_upgrade,befidesh/facility-life-cycle,4.1 Upgrade,4.1 Upgrade,"Diese End-of-Life-Phase führt zu einer aktualisierten Version, die den sich ändernden Anforderungen gerecht wird.",This end-of-life branch results in an upgraded version to meet evolving needs.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/4.2_decommissioning,befidesh/facility-life-cycle,4.2 Rückbau,4.2 Decommissioning,"Der End-of-Life-Zweig konzentriert sich auf die Ausmusterung des Systems, wenn es nicht mehr benötigt wird.",This end-of-life branch focuses on the retirement of the system when it is no longer needed.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/4.2.2_decommissioned,befidesh/facility-life-cycle,4.2.2 Rückgebaut,4.2.2 Decommissioned,Das System wurde vollständig außer Betrieb genommen und wird nicht mehr verwendet.,The system has been fully retired and is no longer in use.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/science-application/matter-research/,befidesh/accelerator-application/science-application/matter-research,Materieforschung,Matter Research,"Erforschung der komplexen Wechselwirkungen zwischen Atomen und Molekülen, die zu Materieformen wie Kristallen, Kunststoffen und Biomolekülen führen.","Research into the complex interactions between atoms and molecules that lead to forms of matter such as crystals, plastics and biomolecules.","","","","","",befidesh,01: preparation,,
befidesh/accelerator/linear-accelerator/drift-tube-linac,befidesh/accelerator/linear-accelerator,Driftröhrenbeschleuniger ,Drift Tube Linac (DTL),,linear accelerator to accelerate particles in the low-to-medium energy range,"","","","","",befidesh,01: preparation,,
befidesh/accelerator/linear-accelerator/radiofrequency-quadrupole-linac,befidesh/accelerator/linear-accelerator,Hochfrequenz-Quadrupol (RFQ) Linac ,Radiofrequency Quadrupole (RFQ) Linac ,"Linac, der niederenergetische Ionen gebündelt beschleunigt. Wird oft als erste Stufe in größeren Beschleunigersystemen verwendet.",linac that focuses and accelerates low-energy ions. Often used as the first stage in larger accelerator systems.,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-process/electrodynamic-acceleration/,befidesh/acceleration/accelerating-process/electrodynamic-acceleration,Elektrodynamische Beschleunigung,Electrodynamic Acceleration,"Bei der elektrodynamischen (oder elektromagnetischen) Beschleunigung werden elektromagnetische Wechselfelder genutzt, um Energie auf Teilchen zu übertragen.",Electrodynamic (or electromagnetic) acceleration employs changing electromagnetic fields to accelerate particles.,"","","","","",befidesh,01: preparation,,
generic/academic-degree/,generic/academic-degree,Akademischer Grad,Academic Degree,"Akademische Grade sind Abschlussbezeichnungen, die von dazu berechtigten Hochschulen aufgrund eines erfolgreich mit einer Hochschulprüfung abgeschlossenen Studiums oder aufgrund einer besonderen wissenschaftlichen Leistung vergeben und durch eine Urkunde dokumentiert werden.",Academic degrees are designations awarded by authorised universities on the basis of a successfully completed course of study with a university examination or on the basis of a special academic achievement and documented by a certificate.,"","",University degree,Hochschulgrad,"",generic,01: preparation,,
generic/academic-degree/bachelor-degree/,generic/academic-degree/bachelor-degree,Bachelor-Grad,Bachelor's Degree,"Erster akademischer und berufsqualifizierender Abschluss des dreistufigen Bologna-Modells. Je nach akademischer Disziplin wird der Bachelorgrad durch eine von sieben möglichen Bezeichnungen spezifiziert:  Bachelor of Arts (B. @ A.), Bachelor of Science (B. @ Sc.), Bachelor of Engineering (B. @ Eng.), Bachelor of Laws (LL. @ B.), Bachelor of Fine (B. @ F. @ A.), Bachelor of Music (B. @ Mus.), Bachelor of Education (B. @ Ed.).","First academic degree and professional qualification of the three-tier Bologna model. Depending on the academic discipline, a Bachelor's degree is specified by one of seven designations, B. @ A. (Bachelor of Arts), B.  @ Sc. (Bachelor of Science), B. @ Eng. (Bachelor of Engineering), LL. @ B. (Bachelor of Laws), B. @ F. @ A. (Bachelor of Fine Arts), B. @ Mus. (Bachelor of Music), B. @ Ed. (Bachelor of Education).","","","","Bachelorgrad,Bachelorabschluss","",generic,01: preparation,,
generic/academic-degree/bachelor-degree/:b.sc.,generic/academic-degree/bachelor-degree,Bachelor of Science,Bachelor Of Science,"Der Bachelor of Science wird in den Fächergruppen Mathematik, Naturwissenschaften und teilweise Ingenieurwissenschaften verliehen.","The Bachelor of Science is awarded in the subject groups of mathematics, natural sciences and, in some cases, engineering.","",B. @ Sc.,B. @ Sc.,"","",generic,01: preparation,,
generic/academic-degree/bachelor-degree/:b.eng.,generic/academic-degree/bachelor-degree,Bachelor of Engineering,Bachelor Of Engineering,Eine der sieben von der Kultusministerkonferenz festgelegten Bachelor-Abschlussbezeichnungen; verliehen in den Ingenieurwissenschaften.,One of the seven Bachelor's degree titles defined by the Conference of Ministers of Education and Cultural Affairs; awarded in the engineering sciences.,"",B. @ Eng.,B. @ Eng.,"","",generic,01: preparation,,
generic/academic-degree/master-degree/,generic/academic-degree/master-degree,Master-Grad,Master's Degree,"Der Master ist der zweithöchste akademische Grad. Er wird nach erfolgreichem Abschluss eines Masterstudiums an Universitäten oder gleichgestellten Hochschulen verliehen. Das Masterstudium ist ein Aufbaustudium, das in der Regel auf ein Bachelorstudium folgt. 
",The Master's degree is the second highest academic degree. It is awarded upon successful completion of a Master's degree programme at universities or equivalent institutions of higher education. The Master's degree programme is a postgraduate course that usually follows a Bachelor's degree. ,"","","","Mastergrad,Masterabschluss","",generic,01: preparation,,
generic/academic-degree/master-degree/:m.a.,generic/academic-degree/master-degree,Master of Science,Master Of Science,"Eine der sieben von der Kultusministerkonferenz festgelegten Master-Abschlussbezeichnungen; verliehen in den Fächergruppen Mathematik, Naturwissenschaften und teilweise Ingenieurwissenschaften.","One of the seven Master's degree titles defined by the Standing Conference of the Ministers of Education and Cultural Affairs; awarded in the subject groups of mathematics, natural sciences and, in some cases, engineering.","",M. @ Sc.,B. @ Sc.,"","",generic,01: preparation,,
generic/academic-degree/master-degree/:m.eng.,generic/academic-degree/master-degree,Master of Engineering,Master Of Engineering,Abschlussbezeichnungen für einen Mastergrad in den Ingenieurwissenschaften,Degree designation for a Master's degree in the engineering sciences,"",M. @ Eng.,M. @ Eng.,"","",generic,01: preparation,,
generic/academic-degree/doctoral-degree/,generic/academic-degree/doctoral-degree,Doktorgrad,Doctorate,Der Doktorgrad ist der höchste akademische Grad und wird durch die Promotion an einer Universität mit Promotionsrecht erworben. Mit der Promotion wird die Befähigung zu selbständiger wissenschaftlicher Arbeit nachgewiesen.,The doctorate is the highest academic degree and is obtained by completing a doctorate at a university with the right to award doctorates. The doctorate is proof of the ability to carry out independent academic work.,"","","","","",generic,01: preparation,,
generic/academic-degree/doctoral-degree/:phd,generic/academic-degree/doctoral-degree,Ph.D,Ph.D,Der Ph.D. ist in englischsprachigen Ländern der wissenschaftliche Doktorgrad in fast allen Fächern und der höchste Studienabschluss im Postgraduiertenbereich.,"In English-speaking countries, the Ph.D. is the academic doctoral degree in almost all subjects and the highest postgraduate degree.","","",PhD,PhD,"",generic,01: preparation,,
generic/academic-degree/doctoral-degree/:dr.rer.nat.,generic/academic-degree/doctoral-degree,Doktor der Naturwissenschaften ,Doctor Of Natural Sciences,"Der Doktor der Naturwissenschaften wird nicht nur in rein naturwissenschaftlichen Fächern wie Physik, Chemie oder Biologie verliehen, sondern auch in verwandten Fächern wie Geographie, Pharmazie, Mathematik, Informatik, Statistik oder Psychologie.","The Doctor of Natural Sciences is not only awarded in purely natural science subjects such as physics, chemistry or biology, but also in related subjects such as geography, pharmacy, mathematics, computer science, statistics or psychology.","",Dr. @ rer. @ nat.,"Dr. @ rer. @ nat.,Doctor rerum naturalium",Doctor rerum naturalium,"",generic,01: preparation,,
generic/academic-degree/doctoral-degree/:dr.ing.,generic/academic-degree/doctoral-degree,Doktor der Ingenieurwissenschaften,Doctor Of Engineering,"Der Doktor der Ingenieurwissenschaften (Dr.-Ing.) ist in Deutschland ein akademischer Grad, der durch eine Promotion im Bereich der Ingenieurwissenschaften, beispielsweise in den Fachrichtungen Maschinenbau, Elektrotechnik, Bauingenieurwesen, Verfahrenstechnik, Umwelttechnik, Luft- und Raumfahrttechnik oder Werkstoffwissenschaften, erworben wird. In bestimmten Fällen kann der Grad auch in der Informatik verliehen werden.","The Doctor of Engineering (Dr.-Ing.) is an academic degree in Germany, which is obtained through a doctorate in the field of engineering, for example in the fields of mechanical engineering, electrical engineering, civil engineering, process engineering, environmental engineering, aerospace technology or materials science. In certain cases, the degree can also be awarded in computer science.","","","Dr.-Ing.,Doctor of Science (Engineering),Doctor of Science (Technology),PhD in Engineering","Dr.-Ing.,Doktoringenieur/in","",generic,01: preparation,,
befidesh/facility-life-cycle/4.2.1_decommissioning,befidesh/facility-life-cycle,4.2.1 Im Rückbau,4.2.1 In decommissioning,Das System wird gerade abgeschaltet und aus dem Betrieb genommen.,The system is in the process of being shut down and removed from operation.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/4.1.1_replaced_by_upgrade,befidesh/facility-life-cycle,4.1.1 Im Upgradeprozess,4.1.1 Being Replaced By Upgrade,"Das System wird durch eine neuere oder aktualisierte Version ersetzt, um den sich ändernden Anforderungen gerecht zu werden.",The system is replaced by a newer or upgraded version to meet evolving needs.,"","","","","",befidesh,01: preparation,,
befidesh/facility-life-cycle/4.1.2_replaced_by_upgrade,befidesh/facility-life-cycle,4.1.2 Ersetzt durch Upgrade,4.1.2 Replaced By Upgrade,"Das System wird durch eine neuere oder aktualisierte Version ersetzt, um den sich ändernden Anforderungen gerecht zu werden.",The system is replaced by a newer or upgraded version to meet evolving needs.,"","","","","",befidesh,01: preparation,,
generic/role/,generic/role,Rolle,Role,,,"","","","","",generic,,,
generic/academic-degree/bachelor-degree/:b.a.,generic/academic-degree/bachelor-degree,Bachelor of Science,Bachelor Of Science,"Der Bachelor of Science wird in den Fächergruppen Mathematik, Naturwissenschaften und teilweise Ingenieurwissenschaften verliehen.","The Bachelor of Science is awarded in the subject groups of mathematics, natural sciences and, in some cases, engineering.","",B. @ A.,B. @ Sc.,"","",generic,01: preparation,,
generic/academic-degree/master-degree/:m.sc.,generic/academic-degree/master-degree,Master of Arts,Master Of Science,"Eine der sieben von der Kultusministerkonferenz festgelegten Master-Abschlussbezeichnungen; verliehen in den Fächergruppen Mathematik, Naturwissenschaften und teilweise Ingenieurwissenschaften.","One of the seven Master's degree titles defined by the Standing Conference of the Ministers of Education and Cultural Affairs; awarded in the subject groups of mathematics, natural sciences and, in some cases, engineering.","",M. @ A.,B. @ Sc.,"","",generic,01: preparation,,
generic/,,GENERIC,GENERIC,"Taxonomie allgemeiner Begriffe, die nicht auf die Beschleunigerforschung beschränkt sind.",Taxonomie of general terms that extend beyond accelerator research.,"","","","","",generic,06: approved,dirk.rathje,
befidesh/,,BeFIDeSH,BeFIDeSH,Taxonomie beschleunigerforschungsspezifischer Begriffe,Taxonomy of accelerator research-specific terms.,"","","","","",befidesh,06: approved,,
befidesh/facility/accelerator-based-facility/neutron-source/laser-driven-neutron-source,befidesh/facility/accelerator-based-facility/neutron-source,Lasergetriebene Neutronenquelle,Laser driven Neutron Source,,,LDNS,"","","","",befidesh,01: preparation,,
befidesh/facility/magnet-facility,befidesh/facility,Anlage für Magnetvermessung,Facility for magnet measurements,,,"","","","","",befidesh,01: preparation,,
befidesh/facility/cryogenic-facility,befidesh/facility,Anlage für Kältemessungen,Facility for cryogenic measurements,,,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/security/nuclear-threat,befidesh/accelerator-application/security,Bekämpfung nuklearer Bedrohungen und der Kernwaffenverbreitung (Nonproliferation),Countering nuclear threats and the proliferation of nuclear weapons (non-proliferation),"Beschleuniger ermöglichen aktive Untersuchungsverfahren, bei denen hochenergetische Photonen oder Neutronen auf verdächtige Objekte oder Ladungen gerichtet werden, um charakteristische Emissionen (z. B. Spaltsignaturen) von Kernmaterialien zu erzeugen. Auf diese Weise lassen sich illegale nukleare Substanzen aus der Ferne aufspüren, was aufgrund ihrer geringen natürlichen Radioaktivität ansonsten schwierig wäre. Diese Systeme unterstützen die Nichtverbreitung von Kernwaffen, indem sie den unerlaubten Transport oder die Lagerung von nuklearem und radiologischem Material aufdecken.","Accelerators enable active probing techniques, whereby high-energy photons or neutrons are directed at suspicious objects or cargo in order to induce characteristic emissions (such as fission signatures) from nuclear materials. This allows illicit nuclear substances to be detected at a distance, which would otherwise be challenging due to their low natural radioactivity. These systems support nuclear non-proliferation by identifying the unauthorised transport or storage of nuclear and radiological materials.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/security/non-invasive-screening,befidesh/accelerator-application/security,Fracht- und Gepäckkontrolle,Cargo and baggage screening,"Kompakte Elektronenbeschleuniger werden an Flughäfen, Seehäfen und Grenzübergängen eingesetzt, um mit hochenergetischen Röntgenstrahlen Container, Fahrzeuge und Gepäck auf versteckte Waffen, Sprengstoffe, Drogen oder radioaktives Material zu untersuchen. Dual-Energy-Röntgensysteme ermöglichen dank Teilchenbeschleunigern die Unterscheidung zwischen organischen, anorganischen und metallischen Stoffen.","Compact electron accelerators are used at airports, seaports and border crossings to examine containers, vehicles and luggage for hidden weapons, explosives, drugs or radioactive material using high-energy X-rays. Thanks to particle accelerators, dual-energy X-ray systems make it possible to differentiate between organic, inorganic and metallic substances.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/security/space-radiation-health-research,befidesh/accelerator-application/security,Erforschung der gesundheitlichen Auswirkungen von Weltraumstrahlung,Research into the health effects of space radiation,"Die biologischen Auswirkungen der Weltraumstrahlung sind eines der größten Hindernisse für die Gewährleistung der Sicherheit von Langzeitmissionen zum Mond, Mars und darüber hinaus. Galaktische kosmische Strahlung (GCR) und solare Teilchenereignisse (SPE) sind zwei Beispiele für die gefährliche Strahlung, der Astronauten ausgesetzt sind, wenn sie sich außerhalb der schützenden Atmosphäre und des Magnetfelds der Erde bewegen. Diese Strahlung kann unter anderem eine akute Strahlenkrankheit verursachen und das lebenslange Krebsrisiko erhöhen. Auf der Erde sind Teilchenbeschleuniger die einzige praktikable Möglichkeit, diese harschen Bedingungen zu simulieren, was es den Forschern ermöglicht, die Auswirkungen der Weltraumstrahlung besser zu verstehen und mögliche Gegenmaßnahmen zu entwickeln.","The biological effects of space radiation are one of the most significant obstacles for ensuring the safety of long-duration human missions to the Moon, Mars and beyond. Galactic cosmic rays (GCRs) and solar particle events (SPEs) are two examples of the hazardous radiation to which astronauts are exposed when they venture beyond Earth's protective atmosphere and magnetic field. This radiation can cause acute radiation sickness and increase the lifetime risk of cancer, among other things. On Earth, particle accelerators are the only practical means of simulating these harsh conditions, enabling researchers to improve our understanding of the effects of space radiation and develop potential countermeasures.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-application/security/nuclear-waste-treatment,befidesh/accelerator-application/security,Nukleare Abfallbehandlung,Nuclear waste treatment,"Beschleunigerbasierte Systeme könnten dabei helfen, die Radiotoxizität und die Lagerungsdauer von nuklearem Abfall signifikant zu reduzieren. Dies wäre möglich, indem langlebige radioaktive Überreste aus Kernreaktoren durch Transmutation in kurzlebige oder stabile Isotope umgewandelt werden. So ließe sich die benötigte geologische Lagerdauer beispielsweise von 300.000 auf 300 bis 500 Jahre senken.","Accelerator-based systems could help to significantly reduce the radiotoxicity and storage time of nuclear waste. This would be possible by converting long-lived radioactive remnants from nuclear reactors into short-lived or stable isotopes through transmutation. In this way, the required geological storage period could be reduced from 300,000 to 300 to 500 years, for example.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-component/magnet/septa-magnet,befidesh/accelerator-component/magnet,Septa,Septa,,,"","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-medium/,befidesh/acceleration/accelerating-medium,Beschleunigungsmedium,Acceleration Medium,"Die Umgebung, in der ein Beschleunigungsprozess stattfindet (z. B. leitende Hohlräume, Plasmen oder dielektrische Strukturen). Die Eigenschaften des Mediums bestimmen, wie viel Energie auf die Teilchen übertragen werden kann.","The environment in which an acceleration process occurs (e.g. conducting cavities, plasmas or dielectric structures). The characteristics of the medium determine the limit of how much energy can be transferred to the particles.","","","","","",befidesh,,,
befidesh/acceleration/accelerating-driver/em-field/thz-radiation,befidesh/acceleration/accelerating-driver/em-field,Terahertz-Strahlung,Terahertz radiation,,,ThZ radiiation,ThZ-Strahlung,"","","",befidesh,,,
befidesh/acceleration/accelerating-medium/conducting-cavity,befidesh/acceleration/accelerating-medium,Leitender Hohlraum,Conducting Cavity,,,"","","","","",befidesh,,,
befidesh/acceleration/accelerating-driver/particle-beam,befidesh/acceleration/accelerating-driver,Teilchenstrahl,Particle beam,,,"","","","","",befidesh,,,
befidesh/acceleration/accelerating-medium/conducting-cavity/superconducting-cavity,befidesh/acceleration/accelerating-medium/conducting-cavity,Supraleitender Hohlraum,Superconducting Cavity,,,"","","","","",befidesh,,,
befidesh/acceleration/accelerating-medium/dielectric-cavity,befidesh/acceleration/accelerating-medium,Dielektrischer Hohlraum,Dielectric cavity,,,"","","","","",befidesh,,,
befidesh/acceleration/accelerating-medium/plasma,befidesh/acceleration/accelerating-medium,Plasma,Plasma,,,"","","","","",befidesh,,,
befidesh/acceleration/accelerating-driver/em-field/rf-radiation,befidesh/acceleration/accelerating-driver/em-field,Hochfrequenzstrahlung,Radio-frequency radiation,,,RF,RF,"","","",befidesh,,,
befidesh/acceleration/accelerating-driver/em-field/optical-radiation,befidesh/acceleration/accelerating-driver/em-field,Optische Strahlung,Optical radiation,,,"","","","","",befidesh,,,
befidesh/acceleration/,befidesh/acceleration,Beschleunigung,Acceleration,,,"","","","","",befidesh,,,
befidesh/acceleration/accelerating-driver/,befidesh/acceleration/accelerating-driver,Beschleunigungstreiber,Acceleration Driver,"Die Entität, die einen Beschleunigungsprozess in einem Medium einleitet und aufrechterhält (z. B. Hochfrequenzstrahlung, Laserstrahlen oder Teilchenstrahlen). Sie ist die Quelle der auf die Teilchen übertragenen Energie.","The entity that initiates and maintains an acceleration process within a medium (e.g. radiofrequency radiation, laser beams or particle beams). It is the source of the energy transferred to the particles.
","","","","","",befidesh,01: preparation,,
befidesh/acceleration/accelerating-driver/em-field/,befidesh/acceleration/accelerating-driver/em-field,Elektromagnetisches Feld,Electromagnetic field,,,"","","","","",befidesh,,,
befidesh/accelerator-research-subfield/,befidesh/accelerator-research-subfield,Beschleunigerforschung,Accelerator Research Subdomain,Als transdisziplinäres Gebiet mit natur- und ingenieurwissenschaftlichen Bezügen läßt sich die Beschleunigerforschung selbst in (sich teilweise überschneidende) Teilbereiche gliedern.,"As a transdisciplinary field with scientific and engineering aspects, accelerator research itself can be organised into (partially overlapping) subfields.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/hypothesis-testing-and-falsification,befidesh/accelerator-research-method,Testen und Falsifizieren von Hypothesen,Hypothesis testing and falsification,"Formulieren von überprüfbaren Hypothesen und Entwerfen von Experimenten, die sie möglicherweise falsifizieren könnten.
",Formulating testable hypotheses and designing experiments that could potentially falsify them.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/controlled-laboratory-experiment,befidesh/accelerator-research-method,Kontrollierte Laborexperimente,Controlled laboratory experiment,Planung und Durchführung von Experimenten zur Prüfung von Hypothesen und zur Beobachtung physikalischer Phänomene unter kontrollierten Bedingungen.,Designing and conducting experiments to test hypotheses and observe physical phenomena under controlled conditions.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/measurement-and-instrumentation,befidesh/accelerator-research-method,Messung und Instrumentierung,Measurement and instrumentation,Entwicklung und Einsatz präziser Instrumente zur Quantifizierung physikalischer Eigenschaften.,Developing and using precise instruments to quantify physical properties.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/simulation-and-modelling,befidesh/accelerator-research-method,Mathematische Modellierung und Simulation,Mathematical modelling and simulation,"Hier geht es darum, mathematische Modelle zu erstellen und sie analytisch oder rechnerisch zu lösen, um physikalische Systeme zu simulieren und die Ergebnisse mit denen zu vergleichen, die durch Experimente gewonnen wurden.",Creating mathematical models and solving them analytically or computationally in order to simulate physical systems and compare the results with those obtained through experimentation.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/case-study,befidesh/accelerator-research-method,Fallstudie,Case study,"Eingehende Analyse spezifischer technischer Projekte oder Misserfolge, um Lehren und bewährte Verfahren zu ziehen.",In-depth analysis of specific engineering projects or failures to extract lessons and best practices.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/surveys-and-interviews,befidesh/accelerator-research-method,Erhebungen und Befragungen,Surveys and interviews,"Sammeln von Daten von Praktikern, Nutzern oder Interessenvertretern, um Informationen für die Gestaltung zu erhalten und den Bedarf zu ermitteln.","Gathering data from practitioners, users or stakeholders to inform design and assess needs.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/prototyping-and-system-design,befidesh/accelerator-research-method,Prototyping und Systemdesign,Prototyping and system design,"Entwurf, Bau und Test von Prototypen oder Systemarchitekturen zur Lösung technischer Probleme.","Designing, building and testing prototypes or system architectures to solve engineering problems.","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/literature-review,befidesh/accelerator-research-method,Literaturübersicht,Literature review,"Kritische Prüfung bestehender Theorien und experimenteller Ergebnisse, um Lücken oder neue Richtungen zu ermitteln.",Critically examining existing theories and experimental results to identify gaps or new directions.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/computational-physics,befidesh/accelerator-research-method,Computergestützte Physik,Computational physics,,"Using numerical methods and simulations to solve complex problems that cannot be solved analytically.
","","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-method/optimisation-techniques,befidesh/accelerator-research-method,Optimierungstechniken,Optimisation techniques,"Verwendung von Algorithmen und statistischen Methoden, um die besten Lösungen innerhalb gegebener Einschränkungen zu finden.",Using algorithms and statistical methods to find the best solutions within given constraints.,"","","","","",befidesh,01: preparation,,
befidesh/accelerator-research-subfield/superconductivity,befidesh/accelerator-research-subfield,Supraleitung,Superconductivity,,,"","","","","",befidesh,01: preparation,,
befidesh/facility/accelerator-based-facility/beamline,befidesh/facility/accelerator-based-facility,Beamline,Beamline,,,"","","","","",befidesh,01: preparation,,
